"index";"labourearnings";"age";"gender";"education";"maritalstatus";"lifesatisfaction"
1;0;29;2;NA;1;10
2;0;72;1;3;1;6
3;NA;40;2;3;1;7
4;0;19;1;1;2;4
5;0;24;1;1;2;7
6;0;46;2;1;1;8
7;0;37;1;1;1;4
8;NA;19;1;NA;2;7
9;0;17;2;NA;2;NA
10;0;6;1;NA;NA;NA
11;NA;53;2;2;5;9
12;0;22;1;1;2;6
13;NA;48;2;NA;NA;NA
14;96000;39;2;2;4;9
15;0;3;2;NA;NA;NA
16;NA;37;2;NA;NA;NA
17;NA;49;1;NA;NA;NA
18;8500;29;2;1;1;10
19;12300;50;2;2;1;9
20;48000;50;1;2;2;6
21;0;70;1;2;1;7
22;0;12;1;NA;NA;NA
23;38400;45;2;3;2;9
24;10800;18;1;1;2;9
25;0;68;2;NA;NA;NA
26;NA;42;2;NA;NA;NA
27;NA;64;1;3;1;8
28;31900;61;2;2;4;8
29;0;13;2;NA;NA;NA
30;0;35;2;NA;1;3
31;0;46;2;3;1;7
32;41600;28;2;2;2;7
33;NA;47;2;3;4;10
34;0;12;2;NA;NA;NA
35;NA;2;2;NA;NA;NA
36;NA;24;1;NA;NA;NA
37;0;15;1;NA;NA;NA
38;132900;53;1;3;1;9
39;NA;62;2;2;1;2
40;0;75;2;NA;3;7
41;0;89;2;NA;NA;NA
42;9600;45;2;1;1;6
43;NA;55;2;NA;NA;NA
44;30200;43;2;3;1;9
45;0;80;1;2;1;7
46;0;3;2;NA;NA;NA
47;NA;18;1;NA;NA;NA
48;0;63;1;3;1;7
49;NA;18;1;NA;NA;NA
50;0;38;2;3;1;10
51;0;12;1;NA;NA;NA
52;0;13;1;NA;NA;NA
53;36000;80;1;3;1;9
54;144000;56;1;2;1;8
55;0;4;2;NA;NA;NA
56;0;59;1;NA;2;8
57;0;13;2;NA;NA;NA
58;NA;64;1;2;1;8
59;0;13;2;NA;NA;NA
60;0;2;1;NA;NA;NA
61;25200;47;2;1;4;5
62;3600;33;1;1;1;10
63;NA;34;2;2;2;7
64;0;43;2;1;1;10
65;0;12;1;NA;NA;NA
66;5400;65;2;1;1;9
67;0;17;2;NA;2;NA
68;39000;46;2;2;4;8
69;NA;61;1;2;1;8
70;57800;49;1;3;1;7
71;23120;54;2;3;1;8
72;NA;61;1;NA;1;7
73;NA;36;1;2;2;6
74;90000;34;1;2;1;8
75;0;10;2;NA;NA;NA
76;0;25;1;NA;2;3
77;0;11;1;NA;NA;NA
78;0;73;2;3;2;10
79;12700;53;2;3;1;7
80;NA;37;1;NA;NA;NA
81;2700;65;2;2;1;8
82;0;35;2;1;1;10
83;0;69;1;3;1;9
84;0;11;1;NA;NA;NA
85;39100;51;2;2;1;8
86;0;85;2;2;1;5
87;19800;42;1;1;1;10
88;24000;29;1;2;2;3
89;100600;52;1;3;2;8
90;NA;19;2;3;2;8
91;63990;61;2;3;1;10
92;0;67;1;2;1;8
93;27600;51;1;1;1;7
94;0;3;2;NA;NA;NA
95;0;30;1;3;2;9
96;51600;63;2;3;1;9
97;0;17;2;1;2;NA
98;NA;19;2;1;2;8
99;48900;58;2;3;1;10
100;0;14;1;NA;NA;NA
101;NA;20;1;NA;NA;NA
102;4176;66;2;2;3;9
103;0;7;1;NA;NA;NA
104;14400;49;2;2;1;4
105;1753;35;2;1;2;6
